algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
460,343,1950,173,835,250,551,136,
1377,628,4042,180,2405,496,941,201,
2867,908,4074,221,5243,823,1363,266,
5199,921,4920,274,9726,1232,1809,331,
9103,1385,6117,240,16227,1722,2273,396,
13416,1874,7911,340,25122,2293,2753,461,
19404,2411,9471,358,36786,2946,3247,526,
23827,2789,10518,372,51593,3680,3752,591,
37374,3419,10371,376,69920,4495,4268,656,
49008,3899,12374,412,92140,5391,4793,721,
67940,4372,12002,412,118628,6368,5327,786,
69229,7696,14158,507,149761,7427,5868,851,
96661,5865,14753,482,185912,8567,6417,916,
120123,7004,17401,576,227457,9788,6973,981,
140572,6778,15564,404,274771,11091,7534,1046,
153050,8250,17849,446,328228,12475,8102,1111,
184761,19126,35890,826,388205,13940,8675,1176,
223904,10386,22012,621,455075,15486,9253,1241,
284664,11628,50393,714,529213,17113,9837,1306,
